기업명: KB금융
기업 고유번호: 00688996
사업연도: 2025
보고서 코드: 11011
재무제표 구분: CFS

[재무상태표 (BS)]
----------------------------------------------------------------------------------------------------
계정명                                                    당기 금액                    전기 금액
자기주식 취득                              1,480,000,000,000          820,000,000,000
자기주식 취득                                              0                        0
자기주식 취득                                              0                        0
자기주식 처분                                              0          238,575,000,000
자기주식 처분                                              0                        0
자기주식 처분                                              0          238,575,000,000
자기주식 처분                                              0                        0
자기주식 처분                                              0                        0
자기주식 처분                                              0                        0
자기주식 처분                                              0          234,600,000,000
자기주식 처분                                              0                        0
자기주식 처분                                              0            3,975,000,000
분기배당                                   1,004,006,000,000          899,971,000,000
분기배당                                                   0                        0
분기배당                                   1,004,006,000,000          899,971,000,000
분기배당                                                   0                        0
분기배당                                                   0                        0
분기배당                                   1,004,006,000,000          899,971,000,000
분기배당                                                   0                        0
분기배당                                                   0                        0
분기배당                                                   0                        0
신종자본증권 발행                            404,028,000,000        1,155,376,000,000
신종자본증권 발행                                          0          756,317,000,000
신종자본증권 발행                            404,028,000,000          399,059,000,000
신종자본증권 발행                                          0                        0
신종자본증권 발행                            404,028,000,000          399,059,000,000
신종자본증권 발행                                          0                        0
신종자본증권 발행                                          0                        0
신종자본증권 발행                                          0                        0
신종자본증권 발행                                          0                        0
신종자본증권 상환                          1,127,218,000,000        1,009,150,000,000
신종자본증권 상환                                          0          659,866,000,000
신종자본증권 상환                          1,127,218,000,000          349,284,000,000
신종자본증권 상환                                          0                        0
신종자본증권 상환                          1,127,218,000,000          349,284,000,000
신종자본증권 상환                                          0                        0
신종자본증권 상환                                          0                        0
신종자본증권 상환                                          0                        0
신종자본증권 상환                                          0                        0
종속기업에 대한 소유지분 변동                -32,471,000,000           12,198,000,000
종속기업에 대한 소유지분 변동                -22,070,000,000           12,198,000,000
종속기업에 대한 소유지분 변동                -10,401,000,000                        0
종속기업에 대한 소유지분 변동                              0                        0
종속기업에 대한 소유지분 변동                              0                        0
종속기업에 대한 소유지분 변동                              0                        0
종속기업에 대한 소유지분 변동                              0                        0
종속기업에 대한 소유지분 변동                              0                        0
종속기업에 대한 소유지분 변동                -10,401,000,000                        0
기타                                         -22,597,000,000          -39,963,000,000
기타                                         -21,602,000,000          -34,806,000,000
기타                                            -995,000,000           -5,157,000,000
기타                                                       0                        0
기타                                                       0                        0
기타                                           1,820,000,000                        0
기타                                                       0                        0
기타                                                       0                        0
기타                                          -2,815,000,000           -5,157,000,000
기타포괄손익-공정가치 측정 금융...        -1,868,220,000,000        1,213,435,000,000
기타포괄손익-공정가치 측정 금융...               -55,000,000             -427,000,000
기타포괄손익-공정가치 측정 금융...        -1,868,165,000,000        1,213,862,000,000
기타포괄손익-공정가치 측정 금융...        -1,877,909,000,000        1,216,509,000,000
기타포괄손익-공정가치 측정 금융...                         0                        0
기타포괄손익-공정가치 측정 금융...             9,744,000,000           -2,647,000,000
기타포괄손익-공정가치 측정 금융...                         0                        0
기타포괄손익-공정가치 측정 금융...                         0                        0
기타포괄손익-공정가치 측정 금융...                         0                        0
현금흐름위험회피수단의 손익                 -289,508,000,000           34,741,000,000
현금흐름위험회피수단의 손익                  -23,678,000,000              -22,000,000
현금흐름위험회피수단의 손익                 -265,830,000,000           34,763,000,000
현금흐름위험회피수단의 손익                 -265,830,000,000           34,763,000,000
현금흐름위험회피수단의 손익                                0                        0
현금흐름위험회피수단의 손익                                0                        0
현금흐름위험회피수단의 손익                                0                        0
현금흐름위험회피수단의 손익                                0                        0
현금흐름위험회피수단의 손익                                0                        0
당기손익-공정가치 지정 금융부채 ...           -3,222,000,000           -5,514,000,000
당기손익-공정가치 지정 금융부채 ...                        0                        0
당기손익-공정가치 지정 금융부채 ...           -3,222,000,000           -5,514,000,000
당기손익-공정가치 지정 금융부채 ...           -3,222,000,000           -5,514,000,000
당기손익-공정가치 지정 금융부채 ...                        0                        0
당기손익-공정가치 지정 금융부채 ...                        0                        0
당기손익-공정가치 지정 금융부채 ...                        0                        0
당기손익-공정가치 지정 금융부채 ...                        0                        0
당기손익-공정가치 지정 금융부채 ...                        0                        0
외환차이                                     -28,814,000,000          582,872,000,000
외환차이                                      18,548,000,000           35,535,000,000
외환차이                                     -47,362,000,000          547,337,000,000
외환차이                                     -47,362,000,000          547,337,000,000
외환차이                                                   0                        0
외환차이                                                   0                        0
외환차이                                                   0                        0
외환차이                                                   0                        0
외환차이                                                   0                        0
순확정급여부채의 재측정요소                   28,017,000,000          -85,375,000,000
순확정급여부채의 재측정요소                     -598,000,000              571,000,000
순확정급여부채의 재측정요소                   28,615,000,000          -85,946,000,000
순확정급여부채의 재측정요소                   28,615,000,000          -85,946,000,000
순확정급여부채의 재측정요소                                0                        0
순확정급여부채의 재측정요소                                0                        0
순확정급여부채의 재측정요소                                0                        0
순확정급여부채의 재측정요소                                0                        0
순확정급여부채의 재측정요소                                0                        0
